,livro,cap,versiculos,texto
0,tg,1,1,"Tiago, servo de Deus e do Senhor Jesus Cristo, às doze tribos dispersas entre as nações: Saudações."
0,tg,1,2,"Meus irmãos, considerem motivo de grande alegria o fato de passarem por diversas provações,"
0,tg,1,3,pois vocês sabem que a prova da sua fé produz perseverança.
0,tg,1,4,"E a perseverança deve ter ação completa, a fim de que vocês sejam maduros e íntegros, sem lhes faltar coisa alguma."
0,tg,1,5,"Se algum de vocês tem falta de sabedoria, peça-a a Deus, que a todos dá livremente, de boa vontade; e lhe será concedida."
0,tg,1,6,"Peça-a, porém, com fé, sem duvidar, pois aquele que duvida é semelhante à onda do mar, levada e agitada pelo vento."
0,tg,1,7,Não pense tal homem que receberá coisa alguma do Senhor;
0,tg,1,8,é alguém que tem mente dividida e é instável em tudo o que faz.
0,tg,1,9,O irmão de condição humilde deve orgulhar-se quando estiver em elevada posição.
0,tg,1,10,"E o rico deve orgulhar-se se passar a viver em condição humilde, porque passará como a flor do campo."
0,tg,1,11,"Pois o sol se levanta, traz o calor e seca a planta; cai então a sua flor, e é destruída a beleza da sua aparência. Da mesma forma o rico murchará em meio aos seus afazeres."
0,tg,1,12,"Feliz é o homem que persevera na provação, porque depois de aprovado receberá a coroa da vida que Deus prometeu aos que o amam."
0,tg,1,13,"Quando alguém for tentado, jamais deverá dizer: ""Estou sendo tentado por Deus"". Pois Deus não pode ser tentado pelo mal, e a ninguém tenta."
0,tg,1,14,"Cada um, porém, é tentado pela própria cobiça, sendo por esta arrastado e seduzido."
0,tg,1,15,"Então a cobiça, tendo engravidado, dá à luz o pecado; e o pecado, após ter-se consumado, gera a morte."
0,tg,1,16,"Meus amados irmãos, não se deixem enganar."
0,tg,1,17,"Toda boa dádiva e todo dom perfeito vêm do alto, descendo do Pai das luzes, que não muda como sombras inconstantes."
0,tg,1,18,"Por sua decisão ele nos gerou pela palavra da verdade, para que sejamos como que os primeiros frutos de tudo o que ele criou."
0,tg,1,19,"Meus amados irmãos, tenham isto em mente: Sejam todos prontos para ouvir, tardios para falar e tardios para irar-se,"
0,tg,1,20,pois a ira do homem não produz a justiça de Deus.
0,tg,1,21,"Portanto, livrem-se de toda impureza moral e da maldade que prevalece, e aceitem humildemente a palavra implantada em vocês, a qual é poderosa para salvá-los."
0,tg,1,22,"Sejam praticantes da palavra, e não apenas ouvintes, enganando-se a si mesmos."
0,tg,1,23,"Aquele que ouve a palavra, mas não a põe em prática, é semelhante a um homem que olha a sua face num espelho"
0,tg,1,24,"e, depois de olhar para si mesmo, sai e logo esquece a sua aparência."
0,tg,1,25,"Mas o homem que observa atentamente a lei perfeita que traz a liberdade, e persevera na prática dessa lei, não esquecendo o que ouviu mas praticando-o, será feliz naquilo que fizer."
0,tg,1,26,"Se alguém se considera religioso, mas não refreia a sua língua, engana-se a si mesmo. Sua religião não tem valor algum!"
0,tg,1,27,"A religião que Deus, o nosso Pai aceita como pura e imaculada é esta: cuidar dos órfãos e das viúvas em suas dificuldades e não se deixar corromper pelo mundo."
0,tg,2,1,"Meus irmãos, como crentes em nosso glorioso Senhor Jesus Cristo, não façam diferença entre as pessoas, tratando-as com favoritismo."
0,tg,2,2,"Suponham que na reunião de vocês entre um homem com anel de ouro e roupas finas, e também entre um homem pobre com roupas velhas e sujas."
0,tg,2,3,"Se vocês derem atenção especial ao homem que está vestido com roupas finas e disserem: ""Aqui está um lugar apropriado para o senhor"", mas disserem ao pobre: ""Você, fique de pé ali"", ou: ""Sente-se no chão, junto ao estrado onde ponho os meus pés"","
