,livro,cap,versiculos,texto
0,os,1,1,"Palavra do Senhor que veio a Oséias, filho de Beeri, durante os reinados de Uzias, Jotão, Acaz e Ezequias, reis de Judá, e de Jeroboão, filho de Jeoás, rei de Israel:"
0,os,1,2,"Quando o Senhor começou a falar por meio de Oséias, o Senhor lhe disse: ""Vá, tome uma mulher adúltera e filhos da infidelidade, porque a nação é culpada do mais vergonhoso adultério por afastar-se do Senhor""."
0,os,1,3,"Por isso ele se casou com Gômer, filha de Diblaim; ela engravidou e lhe deu um filho."
0,os,1,4,"Então o Senhor disse a Oséias: ""Dê a ele o nome de Jezreel, porque logo castigarei a dinastia de Jeú por causa do massacre ocorrido em Jezreel, e darei fim ao reino de Israel."
0,os,1,5,"Naquele dia quebrarei o arco de Israel no vale de Jezreel""."
0,os,1,6,"Gômer engravidou novamente e deu à luz uma filha. Então o Senhor disse a Oséias: ""Dê a ela o nome de Lo-Ruama, pois não mais mostrarei amor para com a nação de Israel, a ponto de perdoá-la."
0,os,1,7,"Contudo, tratarei com amor a nação de Judá; e eu lhes concederei vitória, não pelo arco, pela espada ou por combate, nem por cavalos e cavaleiros, mas pelo Senhor, o seu Deus""."
0,os,1,8,"Depois de ter desmamado Lo-Ruama, Gômer teve outro filho."
0,os,1,9,"Então o Senhor disse: ""Dê a ele o nome de Lo-Ami, pois vocês não são meu povo, e eu não sou seu Deus."
0,os,1,10,"""Contudo os israelitas ainda serão como a areia da praia, que não se pode medir nem contar. No lugar onde se dizia a eles: ‘Vocês não são meu povo’, eles serão chamados ‘filhos do Deus vivo’."
0,os,1,11,"O povo de Judá e o povo de Israel serão reunidos, e eles designarão para si um só líder, e se levantarão da terra, pois será grande o dia de Jezreel."
0,os,2,1,"""Chamem a seus irmãos ‘meu povo’, e a suas irmãs ‘minhas amadas’."
0,os,2,2,"""Repreendam sua mãe, repreendam-na, pois ela não é minha mulher, e eu não sou seu marido. Retire ela do rosto a aparência adúltera e do meio dos seios a infidelidade."
0,os,2,3,"Do contrário, eu a deixarei nua, como no dia em que nasceu; eu farei dela um deserto, eu a transformarei em terra ressequida, e a matarei de sede."
0,os,2,4,"Não tratarei com amor os seus filhos, porque são filhos de adultério."
0,os,2,5,"A mãe deles foi infiel, engravidou deles e está coberta de vergonha. Pois ela disse: ‘Irei atrás dos meus amantes, que me dão comida, água, lã, linho, azeite e bebida’."
0,os,2,6,Por isso bloquearei o caminho dela com espinheiros; eu a cercarei de tal modo que ela não poderá encontrar o seu caminho.
0,os,2,7,"Ela correrá atrás dos seus amantes, mas não os alcançará; procurará por eles, mas não os encontrará. Então ela dirá: ‘Voltarei para o meu marido como no início, pois eu estava bem melhor do que agora’."
0,os,2,8,"Ela não reconheceu que fui eu quem lhe deu o trigo, o vinho e o azeite, quem a cobriu de ouro e de prata, que eles usaram para Baal."
0,os,2,9,"""Por isso levarei o meu trigo quando ele ficar maduro, e o meu vinho quando ficar pronto. Arrancarei dela minha lã e meu linho, que serviam para cobrir a sua nudez."
0,os,2,10,"Agora, pois, vou expor a sua lascívia diante dos olhos dos seus amantes; ninguém a livrará das minhas mãos."
0,os,2,11,"Acabarei com a sua alegria: suas festas anuais, suas luas novas, seus dias de sábado e todas as suas festas fixas."
0,os,2,12,"Arruinarei suas videiras e suas figueiras, que, segundo ela, foi pagamento recebido de seus amantes; farei delas um matagal, e os animais selvagens as devorarão."
